Contracting (Egypt-KSA-Global),,,
,action_id,action_name,action_wait
Edit,52,Allocate Payment Hisoft JV,0.0001
Edit,53,send reminder emails to delayed customers ( delay ),0.0001
Edit,54,Review cash receipt,0.0001
Edit,55,VAT Invoices Out Side Dubai,0.01
Edit,56,review monthly closing (Monthly Closing),0.01
Edit,57,Review the booking and collect the cash&update C,0.0001
Edit,58,Handling Emails,0.0001
Edit,59,Creat Manual VCCs,0.008333
Edit,60,Contracts Reviewing and approval,0.05
Edit,61,Reviewing Cash Payments,0.008333
Edit,62,Generic Bookings,0.0125
Edit,63,Amend Booking,0.010416
Edit,64,Daily Bank Situation,0.0625
Edit,65,E Nett Situation,0.020833
Edit,66,E Nett Settlement Report,0.05
Edit,67,E Nett Filtration,0.001041
Edit,68,E Nett Daily Transation,0.00625
Edit,69,A/P Clearance Closing,1
Edit,70,E Nett Closing,0.125
Edit,71,Handling E Nett Issues,0.010416
Edit,72,Monthly Closing for Cash Hotels,0.041666
Edit,73,Monthly Closing For Credit Hotels,0.063333
Edit,74,TKTS Closing,0.0625
Edit,75,Visas Closing,0.03
Edit,76,VAT Report 14 %,0.5
Edit,77,VAT Dubai Quartare,0.5
Edit,78,Discount and add Tax Report,0.5
Edit,79,Withholding TAX,0.5
Edit,80,Withholding TAX Certificate,0.0625
Edit,81,Servises Reports,0.1875
Edit,82,Receiving Invoices From Credit Hotels Via Email,0.00625
Edit,83,Reviewing the Invoices Of Credit Hotels,0.00625
Edit,84,Preparing Cover Sheet For hotels,0.020833
Edit,85,Issue Cheques,0.25
Edit,86,Issue Debit or Credit Note ( Discount and add Tax ),0.05
Edit,87,Cheques Scan and Discount Note,0.25
Edit,88,Invoices Scan,0.020833
Edit,89,Preparing Statement for BSP,0.375
Edit,90,Preparing Statement for Al wadi Tours,0.125
Edit,91,Sending statement For Hotels,0.0001
Edit,92,Reviewing Transfer Sheet To Hi soft,0.02
Edit,93,Preparing Salaries,0
Edit,94,Closing Intermediate accounts,0.0625
Edit,95,Delivering Cheques,0.05
Edit,96,Preparing Entries For Cheques,0.010416
Edit,97,Traffic,0.5
Edit,98,Preparing profit and loss files,0.0125
Edit,99,Sending Reconcelation For Hotels,0.0001
Edit,100,Handling Invoices Issues,0.020833
Edit,101,Handling SOA,0.03125
Edit,102,Handling Refund Sheet,0.125
Edit,103,Banks Reviewing,0.05
Edit,104,Daily Bank Trasactions,0.00625
Edit,105,Processing Online Transfer By Bank,0.010416
Edit,106,Preparing Monthly Cost,0.375
Edit,107,Cash Count,0.05
Edit,108,Cash Box Reviewing,0.05
Edit,109,Handling Cash box Egypt,0.5
Edit,110,Reviewing Drivers Expenses,0.03
Edit,111,Suppliers Reviewing,0.020833
Edit,112,Monthly Closing Reviewing,0.05
Edit,113,Preparing Yearly Closing,0.05
Edit,114,Preparing Balance Sheet,0.05
Edit,115,Journal entry,0.01
Edit,116,Handling Cash box UAE,0.125
Edit,117,Training,0
Edit,118,any report,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Callcenter,,,
,,,
,,,
,action_id,action_name,action_wait
Edit,1,test,1
Edit,2,End,0
Edit,3,Hotel Confirmation Number,0.013
Edit,4,Sending Voucher,0.013
Edit,5,Payment Order,0.013
Edit,6,Special Action,0
Edit,7,booking (trainee),0.02
Edit,8,Booking (reservation),0.01333
Edit,9,Booking (senior),0.01
Edit,10,Case (reservation),0.04
Edit,11,Case (senior),0.025
Edit,12,Lost Booking Report,0.020833
Edit,13,Confirmation Number Report,0.020833
Edit,14,confirmation/Cancellation Report,0.020833
Edit,15,Acknowledge reports,0.020833
Edit,16,Daily Cancellation Report,0.010416
Edit,17,Quotation Booking report,0.010416
Edit,18,Test booking weekly report,0.010416
Edit,19,any report,1
Edit,20,Training,0
,,,
,,,
,,,
,,,
,,,
Marketing,,,
,action_id,action_name,action_wait
Edit,1,Design Easy (flyer- Social Media Post),0.03
Edit,2,Design Medium(Cover / Banner / Business Card),0.12
Edit,3,Design Hard (Events & Exhibitions,1
Edit,4,Video Easy,0.1667
Edit,5,Video Complicated,1
Edit,6,???,0.2
Edit,7,Social media - Facebook Post,0.025
Edit,8,Social media - Facebook shop,0.025
Edit,9,Social media - Facebook searching contacts,0.3333
Edit,10,???,0.025
Edit,11,???,0.025
Edit,12,Social media - Instagram,0.025
Edit,13,???,0.025
Edit,14,Social media - Twitter,0.025
Edit,15,???,0.0833
Edit,16,???,1
Edit,17,Social media - New Post Content,0.2
Edit,18,Social media - SEO,1
Edit,19,EET Global Updates hotdeal,0.02
Edit,20,EET Global weekly offers,0.02
Edit,21,Newsletter Creation,0.25
Edit,22,Newsletter and flash sale,0.5
Edit,23,EET Updates,0.02
Edit,24,???,0.05
Edit,25,???,0.01
Edit,26,???,0
Edit,28,End,0
Edit,29,EET Global Holiday,0.04
Edit,30,BTC - Creating Offer (Web),0.23
Edit,31,BTC - Update Offer (Web),0.025
Edit,32,BTC - Review Offer (Web),0.02
Edit,33,BTC - Creating Breakdown,0.04
Edit,34,BTC - Update Breakdown,0.025
Edit,35,BTC - Review Breakdown,0.02
Edit,36,Egypt Express Travel updates packages,0.0154
Edit,39,Presentation hard (e.g - company profile),1
Edit,40,Presentation medium ( training ),0.33
Edit,41,Searching photo /video - complicated,0.1667
Edit,42,Social media daily report,0.01
Edit,43,Video Medium,0.5
Edit,44,Create Contract,0.0625
Edit,45,???,0.020833
Edit,46,Design upper intermediate (flyer / brochure / magazine ),0.25
Edit,47,Photo Edit,0.02
Edit,48,???,1
Edit,49,Training,0
Edit,50,send email,0.01
Edit,51,upload Content,0.01
Edit,52,???,0.055
,,,
,,,
,,,
,,,
